,ID,ACTIVITY,GOOD,SUFFICIENT
122627,5010569,0,1,0
122639,5010570,1,1,0
122651,5010571,0,1,0
122662,5010572,0,1,0
122674,5010573,1,1,0
122723,5010574,1,0,1
122756,5010575,0,1,0
122798,5010578,1,0,1
122841,5010579,1,1,0
122868,5010583,1,0,1
122912,5010584,0,1,0
122921,5010585,1,0,1
122930,5010586,1,1,0
122970,5010587,1,1,0
122978,5010588,1,0,1
122987,5010589,1,0,1
123000,5010590,1,1,0
123014,5010591,0,0,1
123022,5010592,0,1,0
123050,5010593,1,0,1
123054,5010594,1,1,0
123058,5010595,1,1,0
123059,5010596,1,1,0
123071,5010597,0,1,0
123083,5010598,1,0,1
123092,5010599,1,0,1
123099,5010600,1,1,0
123101,5010601,1,0,1
123114,5010602,1,1,0
123133,5010603,0,0,1
123146,5010604,1,1,0
123176,5010605,0,1,0
123183,5010606,0,0,1
123187,5010607,0,1,0
123220,5010608,1,1,0
123223,5010609,0,0,1
123227,5010610,1,1,0
123260,5010613,1,1,0
123279,5010615,1,1,0
123333,5010616,1,1,0
123370,5010617,1,1,0
123415,5010620,0,0,0
123433,5010621,0,1,0
123471,5010622,1,1,0
123490,5010623,1,0,1
123503,5010624,1,1,0
123533,5010625,1,1,0
123536,5010626,1,1,0
123538,5010627,0,1,0
123541,5010628,1,0,0
123547,5010629,0,1,0
123550,5010630,0,0,1
123554,5010632,0,1,0
123591,5010633,1,1,0
123646,5010635,1,1,0
123687,5010636,1,1,0
123723,5010637,1,0,1
123760,5010638,1,0,1
123776,5010639,1,1,0
123790,5010640,1,1,0
123804,5010641,1,1,0
123863,5010642,0,0,1
123870,5010643,1,0,1
123876,5010644,1,0,1
123884,5010645,1,0,1
123895,5010646,1,0,1
123900,5010647,1,1,0
123917,5010648,0,0,1
123922,5010649,1,0,1
123933,5010650,1,0,1
123938,5010651,0,1,0
123955,5010652,1,1,0
123996,5010653,1,0,1
124011,5010654,0,0,1
124017,5010655,0,1,0
124039,5010656,0,1,0
124053,5010657,1,0,1
124058,5010658,1,0,1
124065,5010659,0,1,0
124108,5010660,0,1,0
124130,5010661,0,1,0
124144,5010662,1,0,1
124157,5010663,0,0,1
124164,5010664,1,1,0
124206,5010665,0,1,0
124216,5010666,1,1,0
124236,5010667,1,1,0
124257,5010668,0,1,0
124277,5010669,1,1,0
124287,5010670,1,1,0
124295,5010671,1,1,0
124310,5010672,1,0,1
124315,5010673,1,0,1
124336,5010674,1,0,1
124357,5010675,0,0,1
124366,5010676,1,0,1
124370,5010677,0,1,0
124390,5010678,0,1,0
124403,5010679,1,1,0
124458,5010680,0,1,0
124496,5010681,1,0,1
124511,5010682,1,1,0
124524,5010683,1,1,0
124539,5010684,0,0,1
124555,5010685,1,1,0
124592,5010686,0,0,1
124608,5010689,1,1,0
124627,5010690,1,0,0
124660,5010691,1,1,0
124673,5010692,1,0,1
124682,5010693,1,0,1
124686,5010694,1,1,0
124699,5010696,0,0,1
124705,5010697,1,1,0
124746,5010699,1,1,0
124751,5010700,1,0,1
124757,5010701,1,1,0
124768,5010702,1,1,0
124789,5010703,0,1,0
124810,5010706,0,0,1
124832,5010707,1,1,0
124862,5010708,0,1,0
124892,5010709,1,0,1
124899,5010710,1,1,0
124925,5010711,0,0,1
124930,5010713,1,1,0
124934,5010715,0,1,0
124954,5010716,0,1,0
124974,5010717,1,0,1
124983,5010722,0,1,0
125012,5010724,1,1,0
125051,5010725,0,0,1
125060,5010726,1,1,0
125080,5010727,1,1,0
125083,5010728,1,0,1
125087,5010729,1,0,1
125100,5010730,1,1,0
125119,5010731,0,1,0
125139,5010734,0,0,1
125144,5010735,1,1,0
125149,5010737,0,0,1
125154,5010739,0,0,1
125159,5010740,0,0,1
125166,5010741,1,1,0
125200,5010742,0,0,1
125207,5010743,0,0,1
125246,5010745,1,0,1
125261,5010746,0,1,0
125301,5010747,0,1,0
125315,5010750,1,0,1
125325,5010751,1,1,0
125382,5010752,0,1,0
125413,5010754,0,1,0
125431,5010755,1,1,0
125449,5010758,0,1,0
125478,5010759,1,0,1
125489,5010760,0,0,1
125501,5010761,0,1,0
125527,5010762,1,1,0
125539,5010763,0,1,0
125565,5010764,1,1,0
125613,5010765,0,1,0
125615,5010766,1,1,0
125616,5010767,0,1,0
125618,5010768,1,0,0
125627,5010769,0,1,0
125629,5010770,0,0,0
125638,5010771,0,1,0
125640,5010772,1,0,1
125656,5010773,1,0,1
125676,5010774,1,0,1
125696,5010775,0,0,1
125717,5010779,1,1,0
125731,5010781,1,1,0
125762,5010782,1,1,0
125793,5010783,1,1,0
125833,5010785,0,1,0
125857,5010786,1,1,0
125880,5010787,1,1,0
125903,5010789,1,1,0
125934,5010790,1,1,0
125949,5010791,0,1,0
125963,5010792,0,1,0
125977,5010793,1,1,0
125987,5010794,0,0,1
125997,5010795,1,1,0
126000,5010796,1,1,0
126003,5010797,1,1,0
126035,5010798,0,1,0
126085,5010799,1,1,0
126134,5010800,1,1,0
126149,5010801,1,1,0
126200,5010802,1,1,0
126249,5010803,1,1,0
126300,5010804,0,1,0
126312,5010805,1,1,0
126324,5010806,1,1,0
126336,5010807,1,1,0
126348,5010808,1,1,0
126358,5010809,1,1,0
126361,5010810,1,1,0
126368,5010811,1,1,0
126378,5010812,0,1,0
126390,5010813,0,1,0
126430,5010814,0,1,0
126464,5010815,1,1,0
126504,5010817,1,1,0
126539,5010818,0,1,0
126566,5010819,1,1,0
126598,5010820,0,1,0
126633,5010821,1,1,0
126664,5010822,1,1,0
126691,5010823,0,1,0
126725,5010824,1,0,1
126729,5010825,0,1,0
126761,5010826,0,1,0
126788,5010827,1,1,0
126811,5010828,0,1,0
126838,5010829,1,1,0
126844,5010830,1,1,0
126854,5010831,0,1,0
126881,5010832,0,1,0
126908,5010835,0,1,0
126934,5010836,1,0,1
126942,5010837,1,1,0
126983,5010838,1,1,0
127024,5010839,1,1,0
127060,5010840,1,1,0
127074,5010841,1,1,0
127081,5010842,0,1,0
127106,5010843,1,1,0
127133,5010844,1,1,0
127164,5010847,1,0,1
127170,5010848,1,1,0
127183,5010849,0,1,0
127196,5010850,1,0,1
127241,5010854,1,1,0
127273,5010855,1,1,0
127320,5010856,1,1,0
127357,5010857,1,1,0
127382,5010858,1,1,0
127429,5010859,1,1,0
127430,5010860,1,1,0
127459,5010861,0,1,0
127472,5010862,1,1,0
127533,5010863,1,1,0
127541,5010864,1,1,0
127593,5010865,0,1,0
127602,5010866,0,1,0
127611,5010868,1,0,0
127628,5010869,1,0,0
127645,5010870,1,1,0
127660,5010871,0,0,1
127677,5010872,0,0,1
127707,5010873,0,1,0
127725,5010874,1,1,0
127741,5010875,0,1,0
127761,5010876,0,0,1
127770,5010877,1,1,0
127826,5010878,1,0,1
127832,5010879,1,1,0
127841,5010880,1,1,0
127865,5010881,1,1,0
127898,5010883,1,0,1
127907,5010886,1,1,0
127954,5010887,1,0,1
127971,5010888,1,1,0
127999,5010890,1,1,0
128055,5010891,1,0,1
128103,5010892,1,1,0
128122,5010893,1,1,0
128178,5010894,1,1,0
128219,5010897,0,1,0
128244,5010898,1,1,0
128270,5010899,1,1,0
128289,5010900,0,0,1
128316,5010902,0,1,0
128318,5010903,1,1,0
128354,5010904,0,1,0
128356,5010906,1,1,0
128358,5010908,0,0,1
128383,5010910,1,0,1
128407,5010913,1,1,0
128451,5010916,1,1,0
128464,5010917,1,1,0
128471,5010918,1,0,1
128478,5010919,1,0,1
128485,5010921,1,1,0
128542,5010923,0,1,0
128598,5010924,0,0,1
128603,5010925,0,1,0
128620,5010926,0,1,0
128637,5010927,0,0,1
128642,5010928,0,0,1
128647,5010929,1,1,0
128657,5010930,1,0,1
128661,5010931,0,0,1
128666,5010932,0,0,1
128671,5010934,1,1,0
128704,5010935,0,1,0
128742,5010936,1,1,0
128749,5010937,1,1,0
128802,5010938,0,1,0
128840,5010939,1,1,0
128878,5010940,1,1,0
128881,5010941,1,1,0
128917,5010943,1,1,0
128978,5010944,1,0,1
128987,5010945,0,1,0
129014,5010946,0,0,1
129024,5010947,0,1,0
129051,5010948,1,0,0
129088,5010949,1,1,0
129114,5010950,0,1,0
129146,5010951,0,1,0
129173,5010952,0,1,0
129200,5010953,1,1,0
129245,5010954,1,1,0
129287,5010956,1,1,0
129300,5010957,0,1,0
129330,5010958,1,1,0
129336,5010959,1,1,0
129380,5010960,1,0,1
129387,5010961,1,0,1
129414,5010962,1,0,1
129422,5010963,0,1,0
129430,5010964,1,0,1
129469,5010965,0,1,0
129477,5010966,0,1,0
129485,5010967,0,1,0
129493,5010972,1,1,0
129521,5010974,0,0,1
129536,5010975,0,0,1
129560,5010976,0,0,1
129575,5010977,1,0,1
129579,5010978,1,0,1
129587,5010980,1,1,0
129621,5010981,1,1,0
129647,5010982,1,1,0
129673,5010983,1,1,0
129694,5010984,1,1,0
129720,5010986,1,0,1
129731,5010987,1,1,0
129758,5010989,1,1,0
129775,5010990,0,1,0
129805,5010991,0,1,0
129830,5010992,0,1,0
129862,5010993,1,1,0
129891,5010994,1,1,0
129913,5010995,1,1,0
129943,5010996,1,1,0
129949,5010997,1,1,0
129974,5010998,0,1,0
130003,5010999,1,1,0
130032,5011000,0,1,0
130062,5011001,0,0,1
130104,5011002,1,0,1
130139,5011003,0,0,1
130176,5011004,0,0,1
130213,5011005,1,0,1
130252,5011006,1,1,0
130298,5011007,0,0,1
130335,5011008,1,1,0
130368,5011009,1,1,0
130398,5011010,1,0,1
130434,5011011,1,1,0
130483,5011012,0,1,0
130520,5011013,0,0,1
130537,5011014,0,0,1
130554,5011015,0,1,0
130564,5011022,1,0,1
130575,5011023,1,1,0
130595,5011024,1,1,0
130636,5011025,0,1,0
130662,5011026,1,1,0
130694,5011027,1,1,0
130733,5011028,1,1,0
130777,5011029,1,1,0
130793,5011031,1,0,1
130808,5011032,1,1,0
130811,5011033,0,0,1
130827,5011036,1,1,0
130854,5011037,0,0,1
130865,5011039,0,0,1
130876,5011040,0,0,1
130891,5011041,0,0,1
130902,5011042,1,0,1
130912,5011043,0,0,1
130923,5011044,1,1,0
130964,5011045,0,0,1
130989,5011046,1,1,0
131021,5011047,1,1,0
131077,5011048,1,0,0
131087,5011049,1,0,1
131115,5011051,1,1,0
131131,5011052,1,0,1
131160,5011053,1,0,1
131170,5011054,1,0,1
131187,5011055,1,0,1
131197,5011056,1,0,1
131213,5011059,1,1,0
131226,5011061,1,1,0
131247,5011062,1,0,1
131260,5011068,1,1,0
131306,5011072,1,1,0
131335,5011073,1,1,0
131350,5011074,1,1,0
131367,5011075,1,1,0
131382,5011076,1,0,1
131390,5011078,1,0,1
131409,5011079,1,0,0
131416,5011080,1,0,0
131427,5011081,1,1,0
131447,5011082,1,1,0
131479,5011083,1,0,1
131533,5011084,0,1,0
131570,5011087,1,1,0
131602,5011088,1,0,1
131641,5011089,1,0,1
131649,5011090,1,0,0
131681,5011091,1,1,0
131694,5011093,1,1,0
131707,5011094,1,0,1
131716,5011095,1,0,1
131721,5011096,1,0,1
131729,5011097,1,0,1
131737,5011098,1,0,1
131753,5011099,1,1,0
131777,5011100,1,1,0
131796,5011101,1,0,1
131804,5011102,1,1,0
131848,5011104,1,0,1
131873,5011105,1,1,0
131904,5011107,1,1,0
131949,5011108,1,1,0
131985,5011109,1,0,1
131998,5011110,1,1,0
132019,5011111,1,1,0
132032,5011112,1,1,0
132053,5011114,1,1,0
132101,5011115,1,1,0
132149,5011116,1,1,0
132197,5011118,1,1,0
132209,5011119,1,0,0
132236,5011120,1,1,0
132270,5011121,1,1,0
132308,5011122,1,1,0
132326,5011126,1,0,1
132341,5011127,1,0,0
132352,5011128,1,1,0
132401,5011129,1,1,0
132420,5011131,1,1,0
132468,5011132,1,0,1
132514,5011133,1,1,0
132565,5011134,1,0,1
132597,5011135,1,0,1
132608,5011136,1,0,1
132638,5011137,1,0,1
132654,5011138,1,1,0
132700,5011139,1,0,1
132724,5011140,1,1,0
132770,5011141,1,1,0
132816,5011144,1,0,1
132836,5011146,1,1,0
132855,5011147,1,1,0
132866,5011148,1,0,1
132886,5011149,1,0,1
132897,5011150,1,1,0
132948,5011151,1,1,0
132950,5011152,1,1,0
132957,5011153,1,1,0
132968,5011154,1,1,0
132977,5011155,1,1,0
133031,5011156,1,1,0
133042,5011157,1,1,0
133100,5011158,1,1,0
133111,5011159,1,1,0
133122,5011160,1,1,0
133168,5011162,1,1,0
133215,5011163,1,1,0
133263,5011164,1,1,0
133318,5011165,1,1,0
133372,5011166,1,1,0
133374,5011168,1,1,0
133428,5011169,1,1,0
133476,5011170,1,1,0
133485,5011171,1,0,1
133510,5011172,1,0,1
133532,5011173,1,0,1
133539,5011174,1,0,1
133558,5011175,1,1,0
133585,5011176,1,0,1
133634,5011179,1,0,1
133648,5011182,1,1,0
133689,5011183,1,1,0
133743,5011184,1,1,0
133799,5011185,1,0,1
133836,5011191,1,1,0
133879,5011192,1,1,0
133903,5011194,1,0,1
133953,5011195,1,1,0
133975,5011196,1,0,1
133988,5011197,1,0,1
134004,5011198,1,0,1
134025,5011199,1,0,1
134057,5011200,1,0,1
134073,5011201,1,0,1
134079,5011202,1,0,1
134086,5011203,1,0,1
134117,5011204,1,1,0
134164,5011205,1,0,1
134186,5011206,1,0,1
134231,5011207,1,1,0
134283,5011208,1,1,0
134322,5011209,1,1,0
134361,5011210,1,0,1
134381,5011211,1,1,0
134433,5011212,1,1,0
134464,5011213,1,0,1
134495,5011214,1,1,0
134498,5011215,1,0,1
134530,5011216,1,1,0
134566,5011217,1,1,0
134609,5011218,1,1,0
134652,5011219,1,1,0
134695,5011220,1,1,0
134738,5011221,1,1,0
134764,5011223,1,0,1
134778,5011224,1,0,1
134789,5011226,1,1,0
134830,5011227,1,0,1
134839,5011228,1,1,0
134842,5011229,1,0,1
134850,5011230,1,1,0
134885,5011231,1,1,0
134894,5011232,1,1,0
134918,5011233,1,1,0
134949,5011234,1,1,0
134982,5011235,1,1,0
135017,5011236,1,1,0
135055,5011237,1,1,0
135110,5011238,1,1,0
135154,5011239,1,1,0
135198,5011240,1,1,0
135222,5011241,1,1,0
135266,5011242,1,1,0
135270,5011243,1,1,0
135277,5011244,1,1,0
135284,5011245,1,1,0
135294,5011246,1,1,0
135296,5011247,1,1,0
135311,5011248,1,1,0
135325,5011249,1,1,0
135385,5011253,1,1,0
135439,5011256,1,1,0
135499,5011258,1,1,0
135526,5011260,1,0,1
135545,5011261,1,1,0
135560,5011262,1,1,0
135602,5011263,1,0,1
135614,5011266,1,1,0
135638,5011267,1,1,0
135677,5011268,1,1,0
135735,5011269,1,1,0
135774,5011270,1,1,0
135832,5011271,1,0,1
135839,5011273,1,0,1
135859,5011274,1,0,1
135882,5011275,1,1,0
135925,5011276,1,1,0
135979,5011277,1,0,1
135986,5011278,1,1,0
135988,5011279,1,0,1
136001,5011281,1,0,1
136017,5011282,1,0,1
136033,5011283,1,1,0
136062,5011284,1,1,0
136098,5011285,1,1,0
136107,5011286,1,1,0
136111,5011290,1,1,0
136157,5011291,1,1,0
136191,5011292,1,0,1
136197,5011293,1,0,1
136203,5011294,1,1,0
136229,5011295,1,1,0
136274,5011297,0,1,0
136294,5011298,1,0,1
136325,5011300,1,1,0
136372,5011301,1,0,1
136388,5011302,1,0,1
136410,5011303,1,0,1
136456,5011304,1,0,1
136502,5011305,1,0,1
136520,5011306,1,1,0
136570,5011307,1,0,1
136576,5011308,1,0,1
136582,5011309,1,0,1
136607,5011310,1,1,0
136635,5011311,1,1,0
136667,5011312,1,0,1
136706,5011314,1,1,0
136737,5011315,1,1,0
136796,5011316,1,0,1
136804,5011317,1,1,0
136851,5011318,1,1,0
136881,5011319,1,1,0
136890,5011320,1,1,0
136937,5011321,1,1,0
136959,5011322,1,0,1
136982,5011323,1,1,0
137011,5011324,1,1,0
137041,5011325,1,1,0
137077,5011326,1,0,1
137083,5011327,1,1,0
137131,5011328,1,0,1
137137,5011329,1,1,0
137147,5011330,1,1,0
137165,5011331,1,1,0
137192,5011332,1,1,0
137205,5011333,1,0,1
137218,5011337,1,1,0
137277,5011338,1,1,0
137336,5011339,1,0,0
137346,5011340,1,1,0
137399,5011341,1,1,0
137454,5011342,1,0,1
137463,5011343,1,0,1
137481,5011344,1,1,0
137525,5011345,0,1,0
137542,5011346,1,0,1
137578,5011347,1,0,0
137588,5011348,1,1,0
137625,5011349,1,1,0
137628,5011350,1,1,0
137636,5011351,1,1,0
137656,5011352,1,0,1
137676,5011353,1,0,1
137706,5011354,1,0,0
137719,5011355,1,0,1
137739,5011358,1,1,0
137796,5011360,1,0,1
137844,5011361,1,1,0
137901,5011362,1,1,0
137958,5011363,1,1,0
137987,5011364,1,1,0
138016,5011365,1,1,0
138070,5011366,1,1,0
138131,5011367,1,1,0
138147,5011368,1,1,0
138183,5011369,1,1,0
138227,5011370,1,1,0
138281,5011373,1,1,0
138342,5011374,1,1,0
138385,5011375,1,1,0
138442,5011376,1,0,1
138469,5011377,1,1,0
138495,5011378,1,1,0
138539,5011379,1,1,0
138596,5011381,1,1,0
138612,5011382,1,1,0
138652,5011383,1,0,1
138673,5011384,1,0,1
138684,5011386,1,1,0
138728,5011387,1,1,0
138773,5011388,1,1,0
138825,5011389,1,1,0
138866,5011390,1,1,0
138876,5011393,1,0,1
138882,5011394,1,1,0
138917,5011395,1,1,0
138960,5011396,1,1,0
139013,5011398,1,1,0
139037,5011400,1,1,0
139057,5011401,1,1,0
139085,5011402,1,1,0
139125,5011403,1,1,0
139174,5011404,1,0,1
139230,5011405,1,1,0
139266,5011408,1,0,1
139278,5011409,1,1,0
139335,5011410,1,1,0
139384,5011411,1,0,1
139393,5011412,1,0,1
139406,5011414,1,1,0
139463,5011415,1,1,0
139485,5011418,1,1,0
139528,5011419,1,0,1
139566,5011420,1,0,1
139616,5011421,1,1,0
139665,5011422,1,1,0
139697,5011423,1,0,1
139719,5011424,1,0,1
139757,5011425,1,1,0
139780,5011426,1,0,0
139797,5011427,1,1,0
139817,5011428,1,1,0
139844,5011429,1,1,0
139872,5011430,1,0,1
139911,5011431,1,0,1
139950,5011432,1,1,0
139991,5011434,0,1,0
140021,5011435,0,1,0
140077,5011436,0,0,1
140095,5011437,1,0,1
140102,5011438,0,1,0
140158,5011440,1,1,0
140201,5011441,1,0,1
140233,5011442,1,1,0
140274,5011446,1,1,0
140311,5011448,1,1,0
140361,5011449,1,1,0
140398,5011451,1,0,1
140412,5011455,1,1,0
140465,5011456,1,0,0
140478,5011457,1,0,0
140485,5011458,1,0,1
140502,5011461,0,1,0
140511,5011462,1,1,0
140537,5011463,1,1,0
140570,5011464,1,1,0
140608,5011465,0,1,0
140641,5011466,1,1,0
140669,5011467,1,0,1
140709,5011468,1,1,0
140761,5011469,1,1,0
140792,5011470,1,1,0
140839,5011471,1,0,1
140865,5011472,1,0,1
140894,5011473,1,0,1
140906,5011474,1,0,1
140942,5011475,1,1,0
140960,5011476,1,1,0
140991,5011477,1,0,1
141019,5011478,1,0,1
141059,5011479,1,0,1
141111,5011480,0,1,0
141160,5011481,0,1,0
141193,5011482,0,1,0
141243,5011487,1,1,0
141274,5011488,1,1,0
141316,5011489,1,0,1
141361,5011491,1,1,0
141380,5011492,1,1,0
141399,5011493,1,1,0
141438,5011494,1,0,1
141454,5011495,1,0,1
141493,5011496,1,0,1
141524,5011497,1,1,0
141560,5011499,1,0,1
141603,5011500,1,0,1
141624,5011501,1,0,1
141652,5011502,1,0,1
141686,5011503,1,1,0
141701,5011504,1,1,0
141721,5011505,1,1,0
141744,5011506,1,1,0
141779,5011509,1,1,0
141794,5011510,1,1,0
141820,5011511,1,1,0
141859,5011512,1,1,0
141914,5011514,1,0,1
141924,5011515,1,0,1
141936,5011516,1,1,0
141955,5011517,1,1,0
141984,5011518,1,0,1
142017,5011525,1,0,1
142028,5011526,1,0,1
142039,5011527,1,0,0
142080,5011528,1,0,0
142109,5011529,1,0,1
142142,5011530,1,1,0
142189,5011531,1,1,0
142243,5011533,1,1,0
142249,5011534,0,1,0
142294,5011536,1,1,0
142322,5011537,1,1,0
142371,5011538,1,1,0
142379,5011541,1,0,1
142386,5011543,1,1,0
142423,5011544,1,0,1
142431,5011545,1,0,1
142443,5011546,1,0,1
142457,5011547,1,0,0
142478,5011548,1,1,0
142501,5011549,1,1,0
142519,5011550,1,1,0
142569,5011551,1,1,0
142619,5011552,1,1,0
142671,5011553,1,1,0
142712,5011554,1,1,0
142773,5011555,1,0,1
142808,5011556,1,0,1
142856,5011557,1,0,1
142882,5011560,1,1,0
142934,5011562,1,1,0
142975,5011563,1,1,0
143016,5011564,1,1,0
143045,5011565,1,1,0
143063,5011566,1,1,0
143082,5011567,1,1,0
143110,5011570,1,1,0
143146,5011571,1,1,0
143188,5011572,1,0,1
143233,5011574,1,0,0
143255,5011575,1,1,0
143312,5011586,1,0,1
143316,5011587,1,0,1
143320,5011588,1,1,0
143344,5011589,1,1,0
143375,5011590,1,1,0
143409,5011591,1,1,0
143412,5011592,1,1,0
143470,5011593,1,1,0
143505,5011594,1,1,0
143523,5011598,1,0,1
143530,5011599,1,0,1
143574,5011602,1,0,1
143590,5011603,1,0,1
143601,5011604,1,0,1
143618,5011605,1,1,0
143678,5011606,1,1,0
143704,5011607,1,1,0
143757,5011608,1,1,0
143815,5011609,1,1,0
143875,5011610,1,1,0
143934,5011611,1,0,1
143955,5011612,1,1,0
143967,5011613,1,0,0
143991,5011614,1,1,0
144025,5011615,1,1,0
144069,5011617,1,1,0
144099,5011618,1,1,0
144143,5011621,1,1,0
144168,5011622,1,1,0
144224,5011623,1,1,0
144274,5011624,1,1,0
144330,5011625,1,0,1
144344,5011626,1,0,1
144350,5011627,1,0,1
144364,5011629,1,1,0
144420,5011630,1,1,0
144475,5011631,1,0,1
144482,5011632,1,0,1
144493,5011633,1,1,0
144526,5011635,1,0,1
144552,5011636,1,1,0
144568,5011637,1,1,0
144620,5011641,1,0,1
144669,5011642,1,1,0
144721,5011643,1,1,0
144731,5011644,1,1,0
144749,5011645,1,1,0
144779,5011646,1,1,0
144802,5011647,1,1,0
144835,5011648,1,1,0
144879,5011649,1,0,1
144901,5011650,1,0,1
144924,5011651,1,1,0
144925,5011652,1,1,0
144927,5011653,1,0,1
144932,5011654,1,1,0
144941,5011655,1,0,1
144949,5011656,1,1,0
144958,5011657,1,0,1
144975,5011658,1,0,1
144995,5011659,1,0,1
145015,5011660,1,1,0
145040,5011661,1,0,1
145069,5011662,1,1,0
145101,5011663,1,1,0
145148,5011667,1,1,0
145198,5011668,1,1,0
145252,5011669,1,1,0
145255,5011671,1,0,0
145268,5011672,1,0,1
145277,5011673,1,0,1
145289,5011674,1,1,0
145307,5011675,1,1,0
145343,5011676,1,1,0
145346,5011677,1,0,1
145354,5011678,1,0,1
145376,5011679,1,1,0
145400,5011680,1,0,1
145415,5011683,1,0,1
145429,5011684,1,1,0
145467,5011685,1,1,0
145522,5011686,1,0,1
145529,5011687,1,0,1
145536,5011688,1,1,0
145549,5011689,1,1,0
145567,5011690,1,1,0
145590,5011691,1,0,1
145615,5011692,1,1,0
145640,5011693,1,1,0
145699,5011694,1,1,0
145729,5011695,1,1,0
145762,5011696,1,1,0
145798,5011698,1,0,1
145836,5011699,1,0,1
145871,5011700,1,0,1
145906,5011701,1,0,0
145926,5011702,1,1,0
145946,5011703,1,0,1
145962,5011704,1,0,1
145984,5011705,1,0,0
145994,5011706,1,1,0
146011,5011708,1,1,0
146052,5011709,1,0,1
146082,5011710,1,0,1
146122,5011711,1,1,0
146163,5011712,1,1,0
146201,5011713,1,0,1
146244,5011714,1,1,0
146276,5011715,1,0,1
146289,5011716,1,1,0
146313,5011717,1,1,0
146360,5011718,1,0,1
146386,5011719,1,1,0
146442,5011724,1,1,0
146489,5011725,1,1,0
146517,5011726,1,1,0
146539,5011727,1,1,0
146556,5011728,1,1,0
146574,5011729,1,1,0
146596,5011730,1,1,0
146643,5011731,1,1,0
146681,5011732,0,1,0
146738,5011733,1,1,0
146793,5011734,1,1,0
146824,5011735,1,1,0
146840,5011736,1,1,0
146863,5011737,1,0,1
146872,5011738,1,1,0
146906,5011739,1,0,1
146933,5011740,1,1,0
146963,5011741,1,1,0
147014,5011742,0,1,0
147046,5011744,1,1,0
147100,5011745,1,1,0
147123,5011746,1,1,0
147146,5011747,1,1,0
147178,5011748,1,1,0
147210,5011749,1,0,1
147223,5011750,1,0,1
147229,5011751,1,1,0
147274,5011753,1,1,0
147285,5011754,1,1,0
147302,5011755,1,1,0
147339,5011756,1,1,0
147361,5011757,1,0,1
147403,5011758,1,1,0
147431,5011759,1,1,0
147442,5011760,1,1,0
147457,5011761,1,1,0
147475,5011762,1,1,0
147506,5011763,1,0,1
147546,5011764,1,1,0
147565,5011766,1,0,1
147569,5011767,1,1,0
147616,5011768,1,1,0
147658,5011770,1,1,0
147704,5011772,1,1,0
147765,5011773,1,1,0
147821,5011774,1,1,0
147860,5011776,1,1,0
147910,5011778,1,1,0
147929,5011779,1,1,0
147956,5011780,1,1,0
148005,5011781,1,1,0
148026,5011782,1,1,0
148051,5011783,1,1,0
148081,5011784,1,1,0
148113,5011785,1,1,0
148148,5011786,1,1,0
148204,5011787,1,0,1
148210,5011788,1,0,1
148222,5011790,1,0,1
148239,5011791,1,1,0
148291,5011792,1,1,0
148320,5011793,1,1,0
148370,5011794,1,0,1
148382,5011795,1,0,0
148406,5011796,1,0,1
148445,5011797,1,1,0
148500,5011798,1,0,1
148511,5011799,1,0,1
148546,5011800,1,1,0
148604,5011801,1,1,0
148647,5011802,1,1,0
148689,5011803,1,0,0
148699,5011804,1,0,0
148724,5011807,1,0,1
148734,5011809,1,0,1
148776,5011812,1,1,0
148795,5011813,1,1,0
148811,5011814,1,0,1
148830,5011815,1,0,1
148849,5011816,1,1,0
148891,5011817,1,0,1
148933,5011818,1,0,1
148965,5011819,1,1,0
148999,5011820,1,1,0
149046,5011821,1,1,0
149070,5011824,1,1,0
149111,5011825,1,1,0
149139,5011826,1,1,0
149167,5011827,1,0,1
149192,5011828,1,0,1
149210,5011829,1,0,1
149225,5011830,1,0,1
149272,5011831,1,1,0
149303,5011832,1,1,0
149362,5011833,1,1,0
149423,5011835,1,0,1
149449,5011836,1,0,1
149457,5011837,1,0,1
149465,5011838,1,1,0
149506,5011839,1,0,1
149512,5011840,1,1,0
149564,5011841,1,1,0
149580,5011842,1,1,0
149596,5011843,1,1,0
149625,5011844,1,0,1
149661,5011847,1,1,0
149699,5011849,1,1,0
149741,5011850,1,1,0
149764,5011851,1,1,0
149805,5011852,1,1,0
149844,5011854,1,1,0
149861,5011856,1,1,0
149899,5011857,1,0,1
149909,5011858,1,0,1
149918,5011859,1,1,0
149975,5011860,1,1,0
150034,5011862,1,1,0
150081,5011863,1,1,0
150136,5011864,1,1,0
150162,5011865,1,1,0
150186,5011866,1,1,0
150230,5011867,1,1,0
150251,5011868,1,0,1
150259,5011869,1,0,1
150271,5011871,1,1,0
150293,5011872,1,1,0
150336,5011873,1,1,0
150377,5011874,1,1,0
150431,5011875,1,0,1
150467,5011876,1,0,1
150505,5011877,1,1,0
150547,5011878,1,1,0
150589,5011879,1,0,1
150611,5011880,1,0,1
150656,5011882,1,1,0
150683,5011884,1,0,1
150705,5011885,1,0,1
150721,5011886,1,0,1
150727,5011888,1,0,1
150734,5011889,1,0,1
150746,5011890,1,1,0
150772,5011891,1,1,0
150803,5011892,1,1,0
150845,5011893,1,1,0
150891,5011894,1,1,0
150945,5011897,1,1,0
150957,5011898,1,1,0
150963,5011901,1,1,0
151009,5011903,1,1,0
151055,5011906,1,1,0
151066,5011908,1,0,0
151086,5011909,1,0,1
151125,5011910,1,1,0
151170,5011911,1,1,0
151216,5011913,1,1,0
151260,5011914,1,0,1
